
2022-12-16 16:12:08,547 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,549 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,584 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,637 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,664 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,704 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,746 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,801 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,824 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,885 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,898 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,945 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,983 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,025 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,065 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,104 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,144 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,188 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,229 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,265 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,318 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,344 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,385 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,425 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,468 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,506 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,558 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,588 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,624 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,665 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,704 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,756 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,796 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,824 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,892 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,906 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,944 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:09,983 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,024 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,073 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,104 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,143 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,184 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,224 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,266 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,307 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,344 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,384 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,433 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,464 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,507 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,545 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,584 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,638 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,664 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,703 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,755 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,785 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,826 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,881 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,897 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,945 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:10,991 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,038 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,064 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,104 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,143 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,183 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,223 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,263 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,303 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,344 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,384 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,424 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,465 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,509 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,543 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,584 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,626 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,680 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,704 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,744 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,792 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,828 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,905 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,916 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,944 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:11,984 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,026 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,063 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,104 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,143 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,184 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,225 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,268 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,303 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,353 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,383 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,437 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,469 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,504 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,544 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,585 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,623 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,664 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,718 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,744 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:12,784 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
